website,stars
https://github.com/aporter/coursera-android,4307
https://github.com/JakeWharton/NineOldAndroids,4305
https://github.com/AndroidBootstrap/android-bootstrap,4298
https://github.com/facebook/litho,4277
https://github.com/alibaba/freeline,4273
https://github.com/commonsguy/cw-omnibus,4259
https://github.com/kickstarter/android-oss,4245
https://github.com/LitePalFramework/LitePal,4236
https://github.com/scribejava/scribejava,4228
https://github.com/Nightonke/BoomMenu,4197
https://github.com/izzyleung/ZhihuDailyPurify,4191
https://github.com/shwenzhang/AndResGuard,4179
https://github.com/danielzeller/Depth-LIB-Android-,4144
https://github.com/leolin310148/ShortcutBadger,4142
https://github.com/chentao0707/SimplifyReader,4136
https://github.com/crazycodeboy/TakePhoto,4127
https://github.com/sockeqwe/mosby,4092
https://github.com/stanfordnlp/CoreNLP,4089
https://github.com/AsyncHttpClient/async-http-client,4074
https://github.com/ACRA/acra,4061
https://github.com/CarGuo/GSYVideoPlayer,4044
https://github.com/apache/cassandra,4039
https://github.com/Qihoo360/RePlugin,4036
https://github.com/ybq/Android-SpinKit,4028
https://github.com/JakeWharton/DiskLruCache,4024
https://github.com/square/android-times-square,4020
https://github.com/mission-peace/interview,3990
https://github.com/motianhuo/wechat,3981
https://github.com/pxb1988/dex2jar,3948
https://github.com/alibaba/ARouter,3944
https://github.com/redisson/redisson,3929
https://github.com/lzyzsd/JsBridge,3922
https://github.com/Graylog2/graylog2-server,3921
https://github.com/weibocom/motan,3913
https://github.com/naman14/Timber,3904
https://github.com/makovkastar/FloatingActionButton,3904
https://github.com/jdamcd/android-crop,3902
https://github.com/Raizlabs/DBFlow,3900
https://github.com/processing/processing,3877
https://github.com/serge-rider/dbeaver,3873
https://github.com/roboguice/roboguice,3872
https://github.com/castorflex/SmoothProgressBar,3869
https://github.com/gitpitch/gitpitch,3867
https://github.com/vondear/RxTools,3864
https://github.com/google/closure-compiler,3847
https://github.com/careercup/ctci,3796
https://github.com/aa112901/remusic,3770
https://github.com/Clans/FloatingActionButton,3757
https://github.com/gocd/gocd,3756
https://github.com/h6ah4i/android-advancedrecyclerview,3748
https://github.com/prolificinteractive/material-calendarview,3702
https://github.com/evernote/android-job,3702
https://github.com/alibaba/dexposed,3695
https://github.com/wequick/Small,3695
https://github.com/XRecyclerView/XRecyclerView,3694
https://github.com/alibaba/canal,3694
https://github.com/JustWayward/BookReader,3693
https://github.com/apache/zookeeper,3690
https://github.com/robolectric/robolectric,3682
https://github.com/NLPchina/ansj_seg,3667
https://github.com/markzhai/AndroidPerformanceMonitor,3656
https://github.com/JessYanCoding/MVPArms,3647
https://github.com/Yalantis/Phoenix,3637
https://github.com/GrenderG/Toasty,3624
https://github.com/hanks-zyh/HTextView,3603
https://github.com/Devlight/NavigationTabBar,3590
https://github.com/orhanobut/dialogplus,3574
https://github.com/b3log/solo,3571
https://github.com/davemorrissey/subsampling-scale-image-view,3562
https://github.com/diogobernardino/WilliamChart,3557
https://github.com/haifengl/smile,3549
https://github.com/Flipboard/bottomsheet,3522
https://github.com/java-native-access/jna,3517
https://github.com/grpc/grpc-java,3517
https://github.com/dm77/barcodescanner,3514
https://github.com/Netflix/zuul,3511
https://github.com/hackware1993/MagicIndicator,3508
https://github.com/k9mail/k-9,3493
https://github.com/drakeet/Meizhi,3486
https://github.com/openhab/openhab1-addons,3469
https://github.com/DreaminginCodeZH/Douya,3454
https://github.com/apereo/cas,3447
https://github.com/andkulikov/Transitions-Everywhere,3426
https://github.com/medcl/elasticsearch-analysis-ik,3425
https://github.com/hongyangAndroid/baseAdapter,3423
https://github.com/wasabeef/richeditor-android,3415
https://github.com/joelittlejohn/jsonschema2pojo,3404
https://github.com/MyCATApache/Mycat-Server,3401
https://github.com/amitshekhariitbhu/Android-Debug-Database,3401
https://github.com/bingoogolapple/BGARefreshLayout-Android,3397
https://github.com/ben-manes/caffeine,3388
https://github.com/Vedenin/useful-java-links,3385
https://github.com/mikepenz/Android-Iconics,3385
https://github.com/pedrovgs/AndroidWiFiADB,3384
https://github.com/romannurik/muzei,3382
https://github.com/BoltsFramework/Bolts-Android,3381
https://github.com/QMUI/QMUI_Android,3379
https://github.com/square/moshi,3372
https://github.com/codecentric/spring-boot-admin,3361
https://github.com/spring-projects/spring-mvc-showcase,3346
https://github.com/orfjackal/retrolambda,3339
https://github.com/kyleduo/SwitchButton,3325
https://github.com/chrisbanes/ActionBar-PullToRefresh,3307
https://github.com/JoanZapata/android-iconify,3300
https://github.com/apache/zeppelin,3300
https://github.com/shardingjdbc/sharding-jdbc,3291
https://github.com/Tapadoo/Alerter,3290
